trip_number,pickup_location,dropoff_1,dropoff_2,dropoff_3,dropoff_4,dropoff_5,dropoff_6,dropoff_7,vehicle_plate_no,month_pickup,day_pickup
7300003545,8100 BCFG San Pedro,8350 ELISCO EXPORT,8174 BCFG DC Pinagbuhatan,NA,NA,NA,NA,NA,ALA7332,7,27
7300102451,8080 BCFG Canlubang,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,2214,11,8
7300098555,8420 South Mega DC,SUPERVALUE - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI,SUPER SM - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI CAMSUR DEP,NA,NA,NA,CAG 1537,11,8
7300100695,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,MCKENZIE DISTRIBUTION - LEGAZPI,NA,NA,NA,NA,NA,ADK5574,11,8
7300098996,8070 BCFG Calamba,KIMBERLIN ENTERPRISES - CAUAYAN,KIMBERLIN ENTERPRISES - UGAC,NA,NA,NA,NA,NA,ADK 5278,11,8
7300098720,8420 South Mega DC,SANFORD MARKETING - BACACAY,SAVEMORE - SORSOGON 2,SANFORD MARKETING - SORSOGON,NA,NA,NA,NA,2214,11,8
7300101716,8070 BCFG Calamba,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,MDP0979,11,9
7300093495,8060 BCFG Tarlac,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,RNL 379,11,4
7300093362,8070 BCFG Calamba,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,ABK 1717,11,6
7300080146,8070 BCFG Calamba,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,THR 247,10,30
7300071261,8420 South Mega DC,SUPERVALUE - LUCENA,MARKET STRATEGIC FIRM - SM LUCENA,NA,NA,NA,NA,NA,ACL2001,10,26
7300085235,8080 BCFG Canlubang,OCAMPO'S MARKETING INC.-SAN AGUSTIN,OCAMPO'S MARKETING INC.-SAN MIGUEL,NA,NA,NA,NA,NA,WPH 943,10,31
7300090321,8070 BCFG Calamba,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - CANDON,NA,NA,NA,NA,NA,WIV290,11,5
7300091121,8110 BCFG Cavite,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,CCN3362,11,5
7300092608,8330 BCFG GMA MEGA DC,SANFORD MARKETING - SAVER SQUARE CE,SANFORD MARKETING - MAMBUGAN,NA,NA,NA,NA,NA,AVA 3336,11,4
7300095324,8070 BCFG Calamba,PEOPLE'S DIST. SYSTEM CORP.-DAET,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,NA,NA,NA,NA,NA,BYM 6965,11,7
7300096051,8070 BCFG Calamba,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - LAOAG,NA,NA,NA,NA,NA,CAL9640,11,7
7300094762,8420 South Mega DC,BICOL EXCL'T SLS & TRADING-SORSOGON,SANFORD MARKETING - LESGAPI 2,NA,NA,NA,NA,NA,CAN2539,11,7
7300092647,8420 South Mega DC,"SANFORD MARKETING-STA. CRUZ, LAGUNA",SANFORD MARKETING - LB CENTRO,NA,NA,NA,NA,NA,CO4150,11,6
