trip_number,location,next_location,dropoff_series,dropoff_status,vehicle_plate_no,month,day
7300108519,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - TAYUMAN,1,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - TAYUMAN,SUPER GROCERS INC. - OLD STA MESA,2,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - OLD STA MESA,SUPER GROCERS INC. - P. FLORENTINO,3,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - P. FLORENTINO,SUPER GROCERS INC. - KALENTONG,4,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - KALENTONG,SUPER GROCERS INC. - BONI,5,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - BONI,SUPER GROCERS INC. - BAMBANG,6,Scheduled,TJQ 712,11,7
7300108519,SUPER GROCERS INC. - BAMBANG,SUPER GROCERS INC. - STA. ANA,7,Scheduled,TJQ 712,11,7
7300108522,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - PROJECT 8,1,Scheduled,AFA 8008,11,7
7300108522,SUPER GROCERS INC. - PROJECT 8,SUPER GROCERS INC. - NOVALICHES,2,Scheduled,AFA 8008,11,7
7300108522,SUPER GROCERS INC. - NOVALICHES,SUPER GROCERS INC. - TALIPAPA NOVA,3,Scheduled,AFA 8008,11,7
7300108522,SUPER GROCERS INC. - TALIPAPA NOVA,SUPER GROCERS INC. - FOREST HILLS,4,Scheduled,AFA 8008,11,7
7300108522,SUPER GROCERS INC. - FOREST HILLS,SUPER GROCERS INC. - VETERANS VILL.,5,Scheduled,AFA 8008,11,7
7300114803,8420 South Mega DC,SUPER SM - PILI CAMSUR DEPOT,1,Scheduled,NBH7516,11,16
7300114803,SUPER SM - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI,2,Scheduled,NBH7516,11,16
7300114803,SANFORD MARKETING - PILI,SANFORD MARKETING - PILI CAMSUR DEP,3,Scheduled,NBH7516,11,16
