log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
PUREGOLD PRICE CLUB - VISAYAS AVE.,NA,NAZ 1296,NA,2020-12-29T07:08:35Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
8410 North Mega DC,NA,CAJ7144,NA,2020-12-29T07:08:38Z,NA,NA,"DHL,MDP Trucking",NA,NA
8050 BCFG Pampanga,NA,CAJ7144,NA,2020-12-29T07:08:38Z,NA,NA,"DHL,MDP Trucking",NA,NA
PUREGOLD PRICE CLUB - VAL(1 SANTIAG,NA,TMJ 334,NA,2020-12-29T07:09:12Z,NA,NA,"DHL,Leavil Trucking",NA,NA
8070 BCFG Calamba,NA,DXZ 549,NA,2020-12-29T07:09:12Z,NA,NA,DHL,NA,NA
SUPER SM - MONUMENTO,NA,NCK5294,NA,2020-12-29T07:09:15Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
SUPERVALUE - MONUMENTO DEPOT,NA,NCK5294,NA,2020-12-29T07:09:15Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
SUPER SM - MONUMENTO DEPOT,NA,NCK5294,NA,2020-12-29T07:09:15Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
SUPER SM - VALENZUELA,NA,NCK5294,NA,2020-12-29T07:09:15Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
SANFORD MARKETING - MONUMENTO DEPOT,NA,NCK5294,NA,2020-12-29T07:09:15Z,NA,NA,"DHL,Xtian & Xtine Enterprises",NA,NA
PUREGOLD PRICE CLUB - PANIQUI,NA,AVY384,NA,2020-12-29T07:09:31Z,NA,NA,"DHL,Axle Freight Services",NA,NA
8410 North Mega DC,NA,CXT784,NA,2020-12-29T07:09:42Z,NA,NA,"DHL,ACP Trucking",NA,NA
8050 BCFG Pampanga,NA,CXT784,NA,2020-12-29T07:09:42Z,NA,NA,"DHL,ACP Trucking",NA,NA
8050 BCFG Pampanga,NA,ABK2618,NA,2020-12-29T07:09:50Z,NA,NA,"DHL,MDP Trucking",NA,NA
8410 North Mega DC,NA,ABK2618,NA,2020-12-29T07:09:50Z,NA,NA,"DHL,MDP Trucking",NA,NA
PUREGOLD PRICE CLUB - DIVISORIA,NA,NAW7961,NA,2020-12-29T07:09:58Z,NA,NA,"DHL,Unizone Logistics Services, Inc",NA,NA
PUREGOLD PRICE CLUB - VISAYAS AVE.,NA,WDK 654,NA,2020-12-29T07:10:37Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
SANFORD MARKETING - VISAYAS,NA,WDK 654,NA,2020-12-29T07:10:37Z,NA,NA,"DHL,JT Mendoza Trucking",NA,NA
8330 BCFG GMA MEGA DC,NA,CAQ2532,NA,2020-12-29T07:10:57Z,NA,NA,"DHL,IMFG Trucking Services",NA,NA
PUREGOLD PRICE CLUB - VAL(1 SANTIAG,NA,TMJ 334,NA,2020-12-29T07:11:18Z,NA,NA,"DHL,Leavil Trucking",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAZ 1682,NA,2020-12-29T07:11:27Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8330 BCFG GMA MEGA DC,NA,CAQ2531,NA,2020-12-29T07:11:33Z,NA,NA,"DHL,IMFG Trucking Services",NA,NA
PUREGOLD PRICE CLUB - JR PAROLA,NA,ABC 7413,NA,2020-12-29T07:11:58Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
PUREGOLD PRICE CLUB - DIVISORIA,NA,NAW7961,NA,2020-12-29T07:12:05Z,NA,NA,"DHL,Unizone Logistics Services, Inc",NA,NA
PUREGOLD PRICE CLUB-STO TOMAS BAT,NA,RKE795,NA,2020-12-29T07:12:25Z,NA,NA,"DHL,Protege Logistics",NA,NA
PUREGOLD PRICE CLUB - CAINTA JUNCTI,NA,ABC 7411,NA,2020-12-29T07:12:35Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
