plateno,geofence_name,first_timestamp,last_timestamp,time_duration_at_geofence,time_next
RLE353,PH Cagayan Grocery - Destination,2020-12-31 16:00:32,2021-01-04 02:51:58,298286s (~3.45 days),-118895s (~-1.38 days)
NCE1173,PH Bacolod - Mansilingan DC - Source,2021-01-02 05:43:20,2021-01-02 08:11:46,8906s (~2.47 hours),-8904s (~-2.47 hours)
NCE1173,PH Bacolod - Mansilingan DC - Destination,2021-01-02 05:43:22,2021-01-02 08:11:46,8904s (~2.47 hours),154563s (~1.79 days)
ZF7663,PH Bacolod - Mansilingan DC - Destination,2021-01-02 06:30:13,2021-01-02 16:36:25,36372s (~10.1 hours),-36372s (~-10.1 hours)
ZF7663,PH Bacolod - Mansilingan DC - Source,2021-01-02 06:30:13,2021-01-02 16:36:25,36372s (~10.1 hours),313144s (~3.62 days)
JM0535,PH Bacolod - Mansilingan DC - Destination,2021-01-02 06:30:28,2021-01-02 08:38:21,7673s (~2.13 hours),-7673s (~-2.13 hours)
JM0535,PH Bacolod - Mansilingan DC - Source,2021-01-02 06:30:28,2021-01-02 08:38:21,7673s (~2.13 hours),153399s (~1.78 days)
ADC4769,PH Cofipack - Destination,2021-01-02 07:00:49,2021-01-02 07:29:24,1715s (~28.58 minutes),-1715s (~-28.58 minutes)
ADC4769,PH Cofipack - Source,2021-01-02 07:00:49,2021-01-02 07:29:24,1715s (~28.58 minutes),160246s (~1.85 days)
ADC4768,PH Bacolod - Mansilingan DC - Source,2021-01-02 07:07:40,2021-01-02 17:36:49,37749s (~10.49 hours),-37747s (~-10.49 hours)
ADC4768,PH Bacolod - Mansilingan DC - Destination,2021-01-02 07:07:42,2021-01-02 17:36:52,37750s (~10.49 hours),115618s (~1.34 days)
MEG206,PH Cofipack - Destination,2021-01-02 07:40:00,2021-01-02 07:53:06,786s (~13.1 minutes),-786s (~-13.1 minutes)
MEG206,PH Cofipack - Source,2021-01-02 07:40:00,2021-01-02 07:53:06,786s (~13.1 minutes),147289s (~1.7 days)
137707,PH Bacolod - Mansilingan DC - Destination,2021-01-02 08:30:02,2021-01-02 19:29:03,39541s (~10.98 hours),-39541s (~-10.98 hours)
137707,PH Bacolod - Mansilingan DC - Source,2021-01-02 08:30:02,2021-01-02 19:29:03,39541s (~10.98 hours),306089s (~3.54 days)
130102,PH Lipa CPW FG - Destination,2021-01-02 10:05:34,2021-01-02 12:08:58,7404s (~2.06 hours),-7404s (~-2.06 hours)
130102,PH Lipa CPW FG - Source,2021-01-02 10:05:34,2021-01-02 12:08:58,7404s (~2.06 hours),11276s (~3.13 hours)
130102,IMC - NBS/NDC,2021-01-02 15:16:54,2021-01-03 00:43:42,34008s (~9.45 hours),-33962s (~-9.43 hours)
130102,PH Meycauayan Grocery - Destination,2021-01-02 15:17:40,2021-01-03 00:43:14,33934s (~9.43 hours),-33902s (~-9.42 hours)
130102,PH Meycauayan Grocery - Source,2021-01-02 15:18:12,2021-01-03 00:42:58,33886s (~9.41 hours),1759s (~29.32 minutes)
RLE353,PH Cagayan Grocery - Source,2021-01-02 17:50:23,2021-01-04 02:51:54,118891s (~1.38 days),283907s (~3.29 days)
130102,"PH RM Foods, Inc. - Destination",2021-01-03 01:12:17,2021-01-03 03:11:48,7171s (~1.99 hours),-7171s (~-1.99 hours)
130102,"PH RM Foods, Inc. - Source",2021-01-03 01:12:17,2021-01-03 03:11:48,7171s (~1.99 hours),12557s (~3.49 hours)
KAD4601,PH Cagayan Grocery - Destination,2021-01-03 02:45:04,2021-01-03 14:23:36,41912s (~11.64 hours),-41912s (~-11.64 hours)
KAD4601,PH Cagayan Grocery - Source,2021-01-03 02:45:04,2021-01-03 14:23:36,41912s (~11.64 hours),40139s (~11.15 hours)
KAD4602,PH Cagayan Grocery - Destination,2021-01-03 04:12:49,2021-01-03 15:44:41,41512s (~11.53 hours),-41512s (~-11.53 hours)
KAD4602,PH Cagayan Grocery - Source,2021-01-03 04:12:49,2021-01-03 15:44:41,41512s (~11.53 hours),33700s (~9.36 hours)
ADC4767,PH Cagayan Grocery - Destination,2021-01-03 05:02:57,2021-01-03 05:57:57,3300s (~55 minutes),-3300s (~-55 minutes)
ADC4767,PH Cagayan Grocery - Source,2021-01-03 05:02:57,2021-01-03 05:57:57,3300s (~55 minutes),300s (~5 minutes)
ADC4767,PH Cagayan Grocery - Destination,2021-01-03 06:02:57,2021-01-03 06:57:25,3268s (~54.47 minutes),-3268s (~-54.47 minutes)
ADC4767,PH Cagayan Grocery - Source,2021-01-03 06:02:57,2021-01-03 06:57:25,3268s (~54.47 minutes),300s (~5 minutes)
130102,PH Batino Grocery - Destination,2021-01-03 06:41:05,2021-01-03 09:27:38,9993s (~2.78 hours),-9993s (~-2.78 hours)
130102,PH Batino Grocery - Source,2021-01-03 06:41:05,2021-01-03 09:27:38,9993s (~2.78 hours),8560s (~2.38 hours)
KVU104,PH Cagayan Grocery - Destination,2021-01-03 06:46:46,2021-01-03 09:58:33,11507s (~3.2 hours),-11505s (~-3.2 hours)
KVU104,PH Cagayan Grocery - Source,2021-01-03 06:46:48,2021-01-03 09:58:20,11492s (~3.19 hours),128521s (~1.49 days)
ADC4767,PH Cagayan Grocery - Destination,2021-01-03 07:02:25,2021-01-03 07:27:25,1500s (~25 minutes),-1500s (~-25 minutes)
ADC4767,PH Cagayan Grocery - Source,2021-01-03 07:02:25,2021-01-03 07:27:25,1500s (~25 minutes),6375s (~1.77 hours)
1301091079,IMC - NBS/NDC,2021-01-03 08:17:07,2021-01-03 11:38:01,12054s (~3.35 hours),-11954s (~-3.32 hours)
1301091079,PH Meycauayan Grocery - Destination,2021-01-03 08:18:47,2021-01-03 11:38:01,11954s (~3.32 hours),-11916s (~-3.31 hours)
1301091079,PH Meycauayan Grocery - Source,2021-01-03 08:19:25,2021-01-03 11:38:01,11916s (~3.31 hours),1933s (~32.22 minutes)
ADC4767,PH Cagayan Grocery - Destination,2021-01-03 09:13:40,2021-01-03 09:28:50,910s (~15.17 minutes),-910s (~-15.17 minutes)
ADC4767,PH Cagayan Grocery - Source,2021-01-03 09:13:40,2021-01-03 09:28:50,910s (~15.17 minutes),405646s (~4.69 days)
130102,"PH RM Foods, Inc. - Destination",2021-01-03 11:50:18,2021-01-03 14:29:52,9574s (~2.66 hours),-9574s (~-2.66 hours)
