datestamp,plateno,location,longitude,latitude
2021-01-02 01:57:14,ADC4769,PH Cofipack - Source,124.7144866,8.4718283
2021-01-02 01:57:14,ADC4769,PH Cofipack - Destination,124.7144866,8.4718283
2021-01-04 13:20:48,ADC4768,PH Bacolod - Mansilingan DC - Destination,123.0140116,10.6241
2021-01-04 13:23:53,WQC386,PH Mandaue Grocery - Destination,123.9254483,10.3687433
2021-01-04 14:55:46,KAD4601,PH Cagayan Grocery - Destination,124.758465,8.5210766
2021-01-04 14:55:46,KAD4601,PH Cagayan Grocery - Source,124.758465,8.5210766
2021-01-04 14:56:08,KVX105,PH Mandaue Grocery - Destination,123.9254583,10.3687633
2021-01-04 14:57:08,KVX105,PH Mandaue Grocery - Source,123.9253766,10.3687233
2021-01-04 15:24:21,1301091079,PH Meycauayan Grocery - Destination,120.9719366,14.7453583
2021-01-04 15:24:21,1301091079,IMC - NBS/NDC,120.9719366,14.7453583
2021-01-04 15:24:21,1301091079,Savemore - Malhacan,120.9719366,14.7453583
2021-01-04 15:24:49,1301091079,PH Meycauayan Grocery - Source,120.9713,14.7442566
2021-01-04 15:29:07,KWA565,PH Mandaue Grocery - Destination,123.92498,10.3682483
2021-01-04 15:33:38,1301091079,qaGeofence1,120.97001,14.7453433
2021-01-04 16:46:05,JM0535,PH Bacolod - Mansilingan DC - Destination,123.01399,10.624135
2021-01-04 16:46:21,JM0535,PH Bacolod - Mansilingan DC - Source,123.012985,10.624375
2021-01-04 18:45:37,1301091079,PH RM Foods,120.8067216,14.9073033
2021-01-04 18:45:37,1301091079,NA,120.8067216,14.9073033
2021-01-04 18:45:38,1301091079,PH RM Foods,120.8067133,14.9072933
2021-01-04 18:45:38,1301091079,NA,120.8067133,14.9072933
2021-01-04 19:04:53,WQC386,PH Mandaue Grocery - Source,123.9254816,10.3686883
2021-01-04 19:13:03,KVX105,PH Mandaue Grocery - Destination,123.92552,10.3687666
2021-01-04 19:17:44,130102,IMC - NBS/NDC,120.9719166,14.74509
2021-01-04 19:17:44,130102,Savemore - Malhacan,120.9719166,14.74509
2021-01-04 19:17:55,130102,PH Meycauayan Grocery - Destination,120.97159,14.744665
2021-01-04 19:18:13,130102,PH Meycauayan Grocery - Source,120.9713133,14.7443283
2021-01-04 20:02:56,WQC386,PH Mandaue Grocery - Destination,123.9249433,10.3681433
2021-01-04 21:40:21,KVU104,PSACC - Dadiangas CY 1,125.1545166,6.0950983
2021-01-04 21:41:20,KVU104,FDC - General Santos,125.1549483,6.0939433
2021-01-04 21:42:44,KAD4602,PH Cagayan Grocery - Destination,124.75867,8.521345
2021-01-04 21:42:44,KAD4602,PH Cagayan Grocery - Source,124.75867,8.521345
2021-01-04 22:04:20,KVX105,PH Mandaue Grocery - Destination,123.925315,10.36888
2021-01-04 22:22:37,KVX105,NA,123.92528,10.36882
2021-01-04 22:22:37,KVX105,PH Mandaue Grocery - Source,123.92528,10.36882
2021-01-04 23:28:59,KVX105,PH Mandaue Grocery - Source,123.92532,10.3688333
2021-01-05 01:20:20,JM0314,PH Cagayan Grocery - Source,124.7584916,8.5211116
2021-01-05 01:20:20,JM0314,PH Cagayan Grocery - Destination,124.7584916,8.5211116
2021-01-05 02:08:44,130102,PH RM Foods,120.8068583,14.90734
2021-01-05 02:08:44,130102,NA,120.8068583,14.90734
2021-01-05 02:08:44,130102,PH RM Foods,120.8068583,14.90734
2021-01-05 02:08:44,130102,NA,120.8068583,14.90734
2021-01-05 02:11:44,ADC4769,PH Cofipack - Source,124.7144983,8.4718183
2021-01-05 02:11:44,ADC4769,PH Cofipack - Destination,124.7144983,8.4718183
2021-01-05 02:13:41,JM0535,PH Bacolod - Mansilingan DC - Source,123.0123266,10.621225
2021-01-05 02:59:34,MGG381,PH Mandaue Grocery - Source,123.925372,10.368735
2021-01-05 02:59:34,MGG381,PH Mandaue Grocery - Destination,123.925372,10.368735
2021-01-05 02:59:39,RJK963,Gaisano - Butuan,125.5310316,8.9452366
2021-01-05 03:08:05,ADC4768,PH Bacolod - Mansilingan DC - Destination,123.0139933,10.62408
2021-01-05 03:08:21,ADC4768,PH Bacolod - Mansilingan DC - Source,123.0129733,10.6243616
2021-01-05 03:11:11,RJK963,Puregold Price Club - Butuan,125.543555,8.9474016
2021-01-05 03:12:15,ADC4768,No. 1 Supplier Inc. - Bacolod,123.005445,10.6228383
2021-01-05 03:12:31,ADC4769,PH Cofipack - Source,124.7134866,8.4739016
2021-01-05 03:12:31,ADC4769,PH Cofipack - Destination,124.7134866,8.4739016
2021-01-05 03:13:44,RJK963,Ralav Corporation - Butuan,125.5435866,8.9483783
2021-01-05 03:16:05,ADC4769,PH Cofipack - Source,124.71452,8.4718
2021-01-05 03:16:05,ADC4769,PH Cofipack - Destination,124.71452,8.4718
2021-01-05 03:18:06,RJK963,Puregold Price Club - Butuan,125.543585,8.9486116
2021-01-05 03:18:13,RJK963,Ralav Corporation - Butuan,125.5435883,8.9485016
2021-01-05 03:18:26,U51160,LORENZO CY - MISAMIS ORIENTAL,124.75617,8.52614
2021-01-05 03:30:48,KAD4601,PH Cagayan De Oro Fac FG - Source,124.6119666,8.5041516
2021-01-05 03:30:48,KAD4601,Gaisano Citi Super Mall - Bulua,124.6119666,8.5041516
2021-01-05 03:30:48,KAD4601,FDC - CDO,124.6119666,8.5041516
2021-01-05 03:31:47,KAD4601,PH Cagayan De Oro Fac FG - Destination,124.611945,8.50379
2021-01-05 04:00:29,MEG206,PH Cagayan Grocery - Destination,124.7584316,8.5211483
2021-01-05 04:01:59,MGG381,PH Mandaue Grocery - Destination,123.924993,10.368295
2021-01-05 04:47:25,JM0314,Gaisano Citi Super Mall - Bulua,124.61192,8.504205
2021-01-05 04:47:25,JM0314,FDC - CDO,124.61192,8.504205
2021-01-05 04:47:47,JM0314,PH Cagayan De Oro Fac FG - Source,124.6119816,8.5041433
2021-01-05 04:48:03,JM0314,PH Cagayan De Oro Fac FG - Destination,124.6119866,8.5039433
2021-01-05 05:12:31,1301091079,PH DC Calamba MMC - Source,121.1345266,14.2004183
2021-01-05 05:13:20,1301091079,PH Batino Grocery - Source,121.13342,14.2019983
2021-01-05 05:13:20,1301091079,PH Batino Grocery - Destination,121.13342,14.2019983
2021-01-05 05:17:06,ABK4138,Fivel Food Service - Neptune,124.660705,8.4740733
2021-01-05 05:17:06,ABK4138,Fivel Food Service - Palma,124.660705,8.4740733
2021-01-05 05:17:23,ABK4138,Fivel Food Service - Tiano,124.6603883,8.4740383
2021-01-05 05:17:23,ABK4138,Fivel Food Service - Pacana,124.6603883,8.4740383
2021-01-05 05:18:58,RJK963,PSACC - Butuan,125.5410583,8.94756
2021-01-05 05:46:03,KAD4601,Save More - Kauswagan,124.6385633,8.48932
2021-01-05 05:47:06,MEG206,PH Cagayan Grocery - Source,124.7577866,8.5227666
2021-01-05 05:47:06,MEG206,PH Cagayan Grocery - Destination,124.7577866,8.5227666
2021-01-05 05:52:55,JM0535,No. 1 Supplier Inc. - Bacolod,123.0048516,10.6229033
2021-01-05 06:06:00,130102,PH RM Foods,120.807825,14.9067083
2021-01-05 06:06:00,130102,NA,120.807825,14.9067083
2021-01-05 06:06:02,130102,PH RM Foods,120.8077816,14.9067016
2021-01-05 06:06:02,130102,NA,120.8077816,14.9067016
2021-01-05 06:28:27,ADC4768,PH Bacolod - Mansilingan DC - Destination,123.0122516,10.62109
2021-01-05 06:29:06,ADC4768,PH Bacolod - Mansilingan DC - Source,123.0122983,10.6212083
2021-01-05 06:36:32,ADC4769,PH Cofipack - Destination,124.7133916,8.4738266
2021-01-05 06:36:32,ADC4769,PH Cofipack - Source,124.7133916,8.4738266
2021-01-05 06:37:36,ACE1174,Ritchjoy Marketing,122.0798183,6.9120533
2021-01-05 07:23:31,MGG381,PH Mandaue Grocery - Source,123.924383,10.368192
2021-01-05 07:25:25,ADC4769,PH Cofipack - Source,124.7144783,8.4717416
2021-01-05 07:25:25,ADC4769,PH Cofipack - Destination,124.7144783,8.4717416
2021-01-05 07:32:29,ABK4138,Fivel Food Service - Neptune,124.65895,8.4741333
2021-01-05 07:32:29,ABK4138,Fivel Food Service - Palma,124.65895,8.4741333
2021-01-05 07:32:38,ABK4138,Fivel Food Service - Pacana,124.6592533,8.47412
2021-01-05 07:33:08,ABK4138,Fivel Food Service - Tiano,124.659935,8.47411
2021-01-05 07:40:57,JM0535,PH Bacolod - Mansilingan DC - Source,123.01225,10.6211116
2021-01-05 07:40:57,JM0535,PH Bacolod - Mansilingan DC - Destination,123.01225,10.6211116
2021-01-05 08:15:02,ADC4769,PH Cofipack - Destination,124.7136566,8.4740016
2021-01-05 09:17:42,U51160,LORENZO CY - MISAMIS ORIENTAL,124.75613,8.52613
2021-01-05 09:20:14,ADC4769,PH Cofipack - Source,124.714505,8.47182
2021-01-05 09:20:14,ADC4769,PH Cofipack - Destination,124.714505,8.47182
2021-01-05 10:19:35,KVU104,Robinson's Supermarket - Talavera,124.8466683,6.4978866
2021-01-05 13:05:44,KAD4602,PH Cagayan Grocery - Destination,124.758405,8.521045
2021-01-05 13:05:44,KAD4602,PH Cagayan Grocery - Source,124.758405,8.521045
2021-01-05 13:29:05,JM0314,PH Cagayan Grocery - Destination,124.7583983,8.52098
2021-01-05 14:30:21,MGG381,PH Mandaue Grocery - Source,123.925368,10.368725
2021-01-05 15:06:26,JM0314,PH Cagayan Grocery - Source,124.7584783,8.5210433
2021-01-05 17:16:43,KAD4602,PH Cagayan Grocery - Destination,124.75878,8.5229633
2021-01-05 17:16:43,KAD4602,PH Cagayan Grocery - Source,124.75878,8.5229633
2021-01-05 19:41:04,ADC4768,PH Bacolod - Mansilingan DC - Destination,123.0139716,10.6240866
2021-01-05 19:41:25,ADC4768,PH Bacolod - Mansilingan DC - Source,123.0128,10.6242816
2021-01-05 23:32:59,KVX105,FDC - Bohol,123.8496316,9.6701066
2021-01-06 00:02:43,KAD4601,PH Cagayan Grocery - Destination,124.7583833,8.5210416
2021-01-06 00:02:43,KAD4601,PH Cagayan Grocery - Source,124.7583833,8.5210416
