trip_number,so_number,vehicle_plate_no,pickup_arrival,pickup_name,dropoff_arrival,dropoff_name
P300279892,4037390593,KVS151,2021-01-02T23:14:20Z,PH Cagayan Grocery - Source,2021-01-04T08:00:00Z,FDC - General Santos
P300279792,4037556165,ZF7663,2021-01-04T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-06T14:00:00Z,FDC - Tacloban
P300279954,4037561572,KVW954,2021-01-04T23:40:20Z,PH Cagayan Grocery - Source,2021-01-06T09:00:00Z,MDSI - North Mindanao
P300279955,4037585944,KVX123,2021-01-04T23:40:20Z,PH Cagayan Grocery - Source,2021-01-06T09:00:00Z,MDSI - North Mindanao
P300279920,4037393954,KVU104,2021-01-03T23:00:00Z,PH Cagayan Grocery - Source,2021-01-05T09:00:00Z,FDC - General Santos
P300279530,4037020643,NCE1173,2021-01-04T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-04T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300279275,NA,NBG3012,2021-01-03T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-04T23:59:00Z,PH Batino Grocery - Destination
P300279276,NA,JM3166,2021-01-04T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-05T23:59:00Z,PH Batino Grocery - Destination
P300279811,4037344940,ADK4043,2021-01-03T23:00:00Z,PH Mandaue Grocery - Source,2021-01-05T23:30:00Z,FDC - Bohol
P300276822,NA,FWN742,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276821,NA,UVQ414,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276805,NA,NA,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276807,NA,NA,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276810,NA,UVQ414,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276809,NA,NA,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276806,NA,NA,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276814,NA,UVQ414,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300279884,4037544895,ABK3311,2021-01-04T05:35:23Z,PH Cagayan Grocery - Source,2021-01-04T10:00:00Z,FDC - CDO
P300292676,4038207231,RNE755,2021-01-25T15:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-26T00:00:00Z,No. 1 Supplier Inc. - Bacolod
P300293002,4038186254,AAT4643,2021-01-25T13:00:00Z,PH Cagayan Grocery - Source,2021-01-26T07:00:00Z,Fivel Food Service - Pacana
P300290239,4038030235,RKF520,2021-01-21T02:00:00Z,PH Mandaue Grocery - Source,2021-01-23T00:00:00Z,Puregold Price Club - Dulag Leyte
P300291373,4038004016,KVW909,2021-01-24T16:00:00Z,PH Cagayan Grocery - Source,2021-01-25T07:00:00Z,Robinson's Supermarket - Butuan
P300292933,4038289710,KVX115,2021-01-24T14:00:00Z,PH Cagayan Grocery - Source,2021-01-25T06:00:00Z,Interpace Corp.-Carmen
P300292610,4038096278,NCE1173,2021-01-23T20:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-25T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300292609,4038106215,137704,2021-01-23T13:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-25T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300290644,4038163088,KVW523,2021-01-22T16:00:00Z,PH Cagayan Grocery - Source,2021-01-25T01:45:00Z,Gaisano Grand Mall - Digos
P300290856,4038060885,RLK700,2021-01-22T15:00:00Z,PH Cagayan Grocery - Source,2021-01-23T00:00:00Z,Gaisano Capital - Balingasag
P300286163,NA,JM3162,2021-01-16T06:00:00Z,PH Tanauan - Source,2021-01-17T23:59:00Z,PH Meycauayan Grocery - Destination
P300290241,4037805071,ZF7663,2021-01-21T21:00:00Z,PH Mandaue Grocery - Source,2021-01-23T13:00:00Z,Puregold Price Club - Calanipawan
P300290855,4038073889,NDC4767,2021-01-21T22:59:00Z,PH Cagayan Grocery - Source,2021-01-22T07:00:00Z,Fivel Food Service - Pacana
P300289826,4037585970,KVW954,2021-01-20T02:00:00Z,PH Cagayan Grocery - Source,2021-01-20T09:24:37Z,FDC - CDO
P300290854,4037918300,KAD4602,2021-01-21T12:00:00Z,PH Cagayan Grocery - Source,2021-01-22T07:00:00Z,Fivel Food Service - Pacana
P300287369,4038033154,ANA8150,2021-01-16T22:40:20Z,PH Cagayan Grocery - Source,2021-01-18T08:00:00Z,MDSI - North Mindanao
P300288847,4038093306,KVX115,2021-01-18T05:12:26Z,PH Cagayan Grocery - Source,2021-01-18T06:00:00Z,Interpace Corp.-Carmen
P300288212,NA,NA,2021-01-18T23:00:00Z,PH Tanauan - Source,2021-01-19T23:59:00Z,PH Meycauayan Grocery - Destination
P300284583,NA,JM3158,2021-01-16T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-17T23:59:00Z,PH Batino Grocery - Destination
P300281464,NA,NBC8023,2021-01-10T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-10T23:30:00Z,PH Meycauayan Grocery - Destination
P300284602,NA,JM3162,2021-01-11T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-12T23:59:00Z,PH Batino Grocery - Destination
P300284601,,NAR1498,2021-01-12T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-13T23:59:00Z,PH Batino Grocery - Destination
P300284540,4037856124,130106,2021-01-12T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300279644,NA,NAR1498,2021-01-09T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-10T23:59:00Z,PH Meycauayan Grocery - Destination
P300283869,NA,NA,2021-01-15T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-16T23:59:00Z,PH Meycauayan Grocery - Destination
